,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019,04/08/2019
elf,,-0.0016229144999999612,0.0020012213110833788,0.0016365422001189955,0.01350655291163294,0.028614844177616394,0.008692180757765122,0.0064156105109525186,0.0062653635183456124,-0.0023281080482114858,-0.0011372355034071635,-0.00301903063378417,0.002776548586266969,3.581502441707407e-05,0.0
elk,,-0.008505469700000101,0.0057930453718813,0.002906371416932396,0.016974120520379055,0.03639731946896352,0.0009248375137629328,0.004674167155067854,0.015573775573578974,-0.012023504674413377,-0.016133115344234228,0.0033177596396558595,-0.0014930583181402834,0.0,0.0
equipment,,0.022258463000000006,0.005195412111741016,0.0019323461499682892,0.020342678354292376,0.028051194441541805,0.022697186638234612,0.0003138067793080346,0.010778550931477504,0.047375555055961804,-0.004764910070232942,0.0038032176857663025,0.007695478025878444,-8.356566670375543e-05,0.0
estrid,,,,,,,,,,,,,,,
eye,,8.602099999999169e-05,0.006387410548557293,0.0065015997666411085,0.01880119224613086,0.03357851938297052,0.009730288052114178,0.009294369290602678,0.01747848314154199,-0.00319500525729699,-0.004947559171062044,0.005570075875513503,0.005812363040107016,0.00047308528321177157,0.0
faerie,,-0.003773371400000003,0.004393631202320947,0.009211058459018373,0.010097857014758072,0.03378675076440185,0.012415942581130546,0.0030366126988852216,0.007204127822075357,-0.0008977488177529525,-0.007677374232730294,0.0018699475142036626,0.13114280537549705,-0.00040983606557343233,0.0
fish,,0.00013109300000002655,-0.0015171747090158005,0.0013974528617917148,0.01191700094649617,0.03467905657236425,0.025865768508114284,-0.003256078496636783,0.003732894260392916,-0.0025615632746843753,0.0031539350165974422,0.0023458589089730975,-0.0009399069917179759,0.0,0.0
forest,,0.0023118449999999235,0.0033124032371383283,0.0027023416657585564,0.01656022891516029,0.018303249838655278,0.015335076306257633,0.0005292161051548838,0.00920380853781011,0.008103174023824211,0.008968535493433016,0.0024500612777151876,0.0007775855713005875,-0.00024400937912405496,0.0
fox,,-0.004047619000000058,-0.0018796993066277912,0.0038095237759920852,0.020125836626492255,0.04223930111094143,0.03866623564321281,-0.00892857177697326,0.012216692658194583,0.006150793748611383,0.0,0.009523809600871846,-0.00868273492188909,0.0,0.0
freyalise,,,,,,,,,,,,,,,
frog,,-0.0022313136999999594,-0.011871116885741495,0.02182129671566302,0.00650917247977012,0.007788525448983563,0.014741849961403153,0.006009105954866589,0.008033579852139372,-0.0019018473936540659,-0.006137673220197315,-0.005191736763302313,0.005674302758125638,0.0,0.0
fungus,,0.010013964000000097,-0.0047471937724614666,-0.006938872713489919,0.007159085625598083,0.018737451786887904,0.009126827030902618,0.014288244472294265,-0.010626115571361172,-0.0023953359372037575,0.003972413655695117,0.0143891076887539,-0.004974378009586777,-0.0009523809523810378,0.0
gargoyle,,-0.004798623199999907,0.01362747732886782,0.008420314898776926,0.024771259332396767,0.015956554450083038,0.02603332807885539,0.00284284816352387,0.026621585978721996,-0.015054621599419837,0.010585666573454722,0.0027328137840127997,-0.004327536043122082,0.0,0.0
gate,,-0.007053816300000015,0.006084189354037761,0.002730830785507621,0.022841762453991388,0.027525410076808088,0.026838324760116494,0.003172252406455689,0.008182673891944825,0.007066726255586797,-0.009558954852529333,0.006333756219263131,0.006299348444626762,0.0005905172096505318,0.0
germ,,-0.0004706955000000068,0.006972249306373524,0.0003365231808365454,0.020145508520861943,0.02945733251431215,0.027257861740512146,0.0032868161413786012,0.01017616493527207,0.002609820549391406,-0.00729015966748503,0.010866300919547767,0.006895512494298428,0.0,0.0
giant,,-0.005556194399999992,0.005202950303338838,0.006139505928767219,0.02313808118083771,0.034174329438485085,0.02172530378502091,0.007276285764839852,0.011669375969281193,-0.00474151094531583,-0.0055262149085140155,0.008510642213059416,0.0014861695706525069,0.0006540007307269669,0.0
gideon,,-0.001985555299999997,-0.010351025333210861,-0.032942298979915186,0.015274664239694369,0.03358717867161842,-0.0008229568829751788,0.011993768412316586,0.0193187989405037,-0.019669940038924527,-0.0007426487296835482,-0.0010504779566749,-0.006487038732418626,0.007852305413949212,0.0
gnome,,-0.01350029450000001,-0.0011450878228366212,0.007490654805267782,0.018847586645308834,0.02944888868684048,0.01575091665290418,0.01962917455573887,0.01601050522956937,-0.00457179383483497,0.005538221177346259,-0.008925286513495556,0.00047116777804134813,0.0,0.0
goat,,0.0029212450000000167,0.008514398356373354,0.01318293377652724,0.0066678858834230414,-0.04646300052112007,-0.009051454931555902,0.013283262584133482,0.01382035585199004,-0.0068409929883939125,-0.021799694919592882,0.0024573791021920144,0.006009090901962555,0.0,0.0
goblin,,-0.003220603699999991,0.0030806554704063682,0.006430616555217039,0.021421132933562737,0.026018112494810453,0.012037733311834442,0.012712671787195706,0.018537607659802724,0.0003857907486777279,-0.0007245637580696185,0.0023039884954461076,0.006223796073072441,3.861447946773566e-05,0.0
god,,0.009983945999999966,0.02666050792850916,-0.006906472733424818,0.0038812818308320285,0.0026055636919462,0.011497165342430726,-0.009722024756886216,-0.004350742646207717,0.0008579227569689429,-0.010354863747674026,-0.011256415861481517,-0.013189472214389486,-0.012045157148098395,0.0
golem,,0.004361123000000022,-0.0002351982714089429,0.0008738275496145143,0.021860917454926243,0.011684971880710826,0.031127117626521095,0.010362975375402206,0.008724660400967643,-0.004263067307053614,-0.018380521912040426,0.0025420320165363552,-0.006049526244637171,-0.0006550312432663796,0.0
gorgon,,-0.0005764163000000488,0.012063953159243468,-0.0053649848461797545,0.03324686232922458,0.04258540326781657,0.029175737420140235,-0.007092555280399759,0.014250169038483973,-0.006397558740832809,-0.02568494784193187,0.007517988371589013,0.033090792853256,0.0,0.0
graveborn,,,,,,,,,,,,,,,
