mtgjson_set_code,mtgjson_name,mtgjson_link,mkm_set_name,mkm_web_name
DDQ,Duel Decks: Blessed vs. Cursed,https://mtgjson.com/v4/json/DDQ.json,Duel Decks: Blessed vs. Cursed,Duel+Decks%3A+Blessed+vs.+Cursed
DDC,Duel Decks: Divine vs. Demonic,https://mtgjson.com/v4/json/DDC.json,Duel Decks: Divine vs. Demonic,Duel+Decks%3A+Divine+vs.+Demonic
DDO,Duel Decks: Elspeth vs. Kiora,https://mtgjson.com/v4/json/DDO.json,Duel Decks: Elspeth vs. Kiora,Duel+Decks%3A+Elspeth+vs.+Kiora
DDF,Duel Decks: Elspeth vs. Tezzeret,https://mtgjson.com/v4/json/DDF.json,Duel Decks: Elspeth vs. Tezzeret,Duel+Decks%3A+Elspeth+vs.+Tezzeret
EVG,Duel Decks Anthology: Elves vs. Goblins,https://mtgjson.com/v4/json/EVG.json,Duel Decks: Elves vs. Goblins,Duel+Decks%3A+Elves+vs.+Goblins
DDU,Duel Decks: Elves vs. Inventors,https://mtgjson.com/v4/json/DDU.json,Duel Decks: Elves vs. Inventors,Duel+Decks%3A+Elves+vs.+Inventors
DDD,Duel Decks: Garruk vs. Liliana,https://mtgjson.com/v4/json/DDD.json,Duel Decks: Garruk vs. Liliana,Duel+Decks%3A+Garruk+vs.+Liliana
DDL,Duel Decks: Heroes vs. Monsters,https://mtgjson.com/v4/json/DDL.json,Duel Decks: Heroes vs. Monsters,Duel+Decks%3A+Heroes+vs.+Monsters
DDJ,Duel Decks: Izzet vs. Golgari,https://mtgjson.com/v4/json/DDJ.json,Duel Decks: Izzet vs. Golgari,Duel+Decks%3A+Izzet+vs.+Golgari
DD2,Duel Decks: Jace vs. Chandra,https://mtgjson.com/v4/json/DD2.json,Duel Decks: Jace vs. Chandra,Duel+Decks%3A+Jace+vs.+Chandra
DDM,Duel Decks: Jace vs. Vraska,https://mtgjson.com/v4/json/DDM.json,Duel Decks: Jace vs. Vraska,Duel+Decks%3A+Jace+vs.+Vraska
DDG,Duel Decks: Knights vs. Dragons,https://mtgjson.com/v4/json/DDG.json,Duel Decks: Knights vs. Dragons,Duel+Decks%3A+Knights+vs.+Dragons
DDT,Duel Decks: Merfolk vs. Goblins,https://mtgjson.com/v4/json/DDT.json,Duel Decks: Merfolk vs. Goblins,Duel+Decks%3A+Merfolk+vs.+Goblins
DDS,Duel Decks: Mind vs. Might,https://mtgjson.com/v4/json/DDS.json,Duel Decks: Mind vs. Might,Duel+Decks%3A+Mind+vs.+Might
DDR,Duel Decks: Nissa vs. Ob Nixilis,https://mtgjson.com/v4/json/DDR.json,Duel Decks: Nissa vs. Ob Nixilis,Duel+Decks%3A+Nissa+vs.+Ob+Nixilis
